query_id,best_hit,best_evalue,best_score,score_mean,score_std,score_gmean
sp|Q499M4|TIGD5_MOUSE,1IUF_A,3.2e-11,85.75,80.92,4.83,80.78
sp|Q5F267|P5I13_MOUSE,4BK5_C,320.0,24.37,nan,nan,nan
sp|Q5G866|DFA23_MOUSE,6KRA_A,1.5e-05,43.93,nan,nan,nan
sp|Q5GIG6|TNI3K_MOUSE,4OAV_B,2.2e-60,471.67,220.13,26.57,218.92
sp|Q61080|FOXF1_MOUSE,6FEC_w,1.6e-25,217.04,144.37,21.33,143.09
sp|Q61083|M3K2_MOUSE,5NCL_A,2.8e-35,268.7,209.69,12.41,209.33
sp|Q61220|NELL2_MOUSE,6POG_B,1.1e-29,191.1,95.86,35.25,90.36
sp|Q61414|K1C15_MOUSE,3TNU_A,1.9e-13,89.82,67.14,11.37,66.19
sp|Q61542|STAR3_MOUSE,1EM2_A,7.3e-24,159.59,115.54,19.41,114.00
sp|Q61806|XL3C_MOUSE,6DD8_C,3.2e-12,96.6,91.94,5.71,91.76
sp|Q62266|SPR1A_MOUSE,2QKW_A,1800.0,19.24,nan,nan,nan
sp|Q62381|TLL1_MOUSE,3KQ4_D,2.9e-55,368.93,119.22,60.32,107.82
sp|Q62417|SRBS1_MOUSE,2DYB_B,1.4e-07,86.29,72.76,10.66,71.98
sp|Q64318|ZEB1_MOUSE,6QNX_C,4.5e-19,194.42,75.86,22.34,73.24
sp|Q64435|UD16_MOUSE,6KVJ_A,4.1e-33,217.56,133.60,41.82,126.69
sp|Q64669|NQO1_MOUSE,5FUQ_B,7.5e-65,403.06,101.61,60.82,92.72
sp|Q68EF6|BEGIN_MOUSE,7PER_H,0.11,57.04,nan,nan,nan
sp|Q6F3F9|AGRG6_MOUSE,6V55_A,2.1e-84,649.66,119.50,70.29,106.23
sp|Q6GQX6|ANKS6_MOUSE,4OAV_B,7.1e-33,278.06,172.78,43.30,167.50
sp|Q6P5G3|MBTD1_MOUSE,4C5I_A,1.9e-89,626.24,327.67,172.29,277.32
sp|Q6PGH1|BUD31_MOUSE,7DCO_N,2.3e-59,340.26,328.63,7.87,328.54
sp|Q6R891|NEB2_MOUSE,3EGG_D,7.1e-20,145.14,113.26,31.87,108.69
sp|Q6URW6|MYH14_MOUSE,6Z47_G,5.6e-213,1861.8,853.80,446.19,623.85
sp|Q7TPS0|KS6A6_MOUSE,4OLI_A,2.2e-60,444.1,236.39,29.67,234.76
sp|Q7TQP4|RL3R2_MOUSE,5ZKP_A,7.9e-29,200.34,153.09,21.63,151.20
sp|Q80TZ9|RERE_MOUSE,7AOA_A,1.7e-51,454.22,130.64,88.48,115.33
sp|Q80U04|PJA2_MOUSE,6ID1_q,1.3e-07,85.64,74.28,9.57,73.64
sp|Q80V91|DTX3_MOUSE,6Y2X_B,9.4e-48,298.83,187.58,112.75,147.16
sp|Q80YD6|SRGEF_MOUSE,4JHN_D,8.1e-32,239.11,152.10,35.14,147.86
sp|Q8BFU8|VGLU3_MOUSE,6V4D_A,7.3e-40,279.4,128.19,21.86,126.82
sp|Q8BG39|SV2B_MOUSE,7SP5_B,4.3e-31,222.55,141.17,25.56,138.72
sp|Q8BGW0|THMS1_MOUSE,1TOL_A,11.0,35.88,nan,nan,nan
sp|Q8BIG2|LKAM1_MOUSE,6N30_G,36.0,27.03,nan,nan,nan
sp|Q8BKX6|SMG1_MOUSE,6Z3R_A,0.0,4504.19,552.18,897.87,365.21
sp|Q8BLN5|LSS_MOUSE,1W6K_A,7.7e-143,1035.65,153.89,200.65,116.03
sp|Q8BMI0|FBX38_MOUSE,3OGL_D,3.9e-05,78.06,75.84,1.79,75.82
sp|Q8BP67|RL24_MOUSE,6ZJ3_Lm,4.6e-45,275.8,178.30,65.37,165.43
sp|Q8BQQ1|ZDH14_MOUSE,6BMS_D,8.4e-27,197.75,180.27,10.25,179.98
sp|Q8BZ52|FSD2_MOUSE,4TN3_B,3.4e-21,159.44,70.88,16.89,69.49
sp|Q8BZ60|STON2_MOUSE,6YAF_M,1.2e-19,175.03,138.78,29.95,135.07
sp|Q8C172|CERS6_MOUSE,1X2M_A,9.7e-07,53.49,53.49,0.00,53.49
sp|Q8C190|VP9D1_MOUSE,4Q9U_A,5.7e-17,149.99,142.88,5.26,142.78
sp|Q8C1Q6|UQCC5_MOUSE,6KOZ_A,81.0,21.96,nan,nan,nan
sp|Q8C2S0|UBP44_MOUSE,3IHP_B,3.7e-51,417.6,231.54,79.37,213.22
sp|Q8C7U1|N4BP3_MOUSE,7N9F_z,19.0,38.9,nan,nan,nan
sp|Q8CC14|F216B_MOUSE,5J7T_A,130.0,25.25,nan,nan,nan
sp|Q8CDV0|CC178_MOUSE,7DL2_D,8.6,46.53,nan,nan,nan
sp|Q8CE90|MP2K7_MOUSE,6YG1_C,4.8e-66,410.21,190.11,18.59,189.39
sp|Q8CEF8|RN222_MOUSE,5TTE_B,5.6e-07,75.52,70.66,3.59,70.57
sp|Q8CGP1|H2B1K_MOUSE,7D69_D,4.8e-28,154.71,107.34,27.21,103.43
sp|Q8CH40|NUDT6_MOUSE,4ZBP_B,2.8e-32,223.07,74.83,16.27,73.85
sp|Q8CHX6|MBTP2_MOUSE,3B4R_B,0.008,52.43,nan,nan,nan
sp|Q8CIE6|COPA_MOUSE,5NZV_H,3e-241,1986.38,170.10,156.91,156.00
sp|Q8R3P0|ACY2_MOUSE,2Q4Z_B,1.2e-38,255.85,124.46,58.40,113.67
sp|Q8VBU8|BANP_MOUSE,7W27_C,4.2e-09,86.01,74.52,8.23,74.08
sp|Q8VBY2|KKCC1_MOUSE,6CD6_D,2.4e-48,279.72,208.29,14.32,207.83
sp|Q8VEC3|AGRF1_MOUSE,7D76_R,1.8e-31,260.74,143.62,32.72,139.52
sp|Q8VFD3|O5P60_MOUSE,7JOZ_R,5.5e-23,170.64,133.10,17.88,131.60
sp|Q8VIG3|RSPH1_MOUSE,7DMP_A,2.2e-63,405.38,129.48,75.22,117.72
sp|Q8VIN1|PEBP2_MOUSE,7OF0_6,3.1e-28,206.47,147.41,43.95,139.88
sp|Q91V04|TRAM1_MOUSE,7P5C_B,45.0,33.31,nan,nan,nan
sp|Q91VZ6|SMAP1_MOUSE,3T9K_A,2.1e-25,194.22,125.07,31.69,120.79
sp|Q91XE0|GLYAT_MOUSE,1SQH_A,4.2e-06,67.23,67.23,0.00,67.23
sp|Q91ZU1|ASB6_MOUSE,6PW5_D,4.1e-13,132.09,77.53,14.03,76.28
sp|Q922M5|CDA7L_MOUSE,6PA7_P,6.8,39.34,nan,nan,nan
sp|Q924C1|XPO5_MOUSE,5YU7_A,3.2e-154,1208.85,272.21,268.92,217.77
sp|Q99JT1|GATB_MOUSE,3AL0_B,1.1e-106,766.02,583.75,215.84,501.03
sp|Q99KH8|STK24_MOUSE,3A7I_A,1.8e-56,328.15,238.51,15.56,238.03
sp|Q99ML1|BBC3_MOUSE,5FMJ_B,1.7,28.75,nan,nan,nan
sp|Q99MX7|T121B_MOUSE,6X9O_A,7.6,50.38,nan,nan,nan
sp|Q9CQG6|TM147_MOUSE,6W6L_4,1e-65,418.1,418.10,0.00,418.10
sp|Q9CY58|SERB1_MOUSE,4V6X_Ah,6.9e-104,741.11,192.37,195.79,147.45
sp|Q9CY94|PSF3_MOUSE,2E9X_C,2.1e-34,220.71,135.29,47.54,127.49
sp|Q9CZJ6|MS18A_MOUSE,5HJ0_C,9e-18,117.89,117.22,0.47,117.22
sp|Q9D2M8|UB2V2_MOUSE,3VON_d,3.6e-13,76.91,61.58,7.45,61.14
sp|Q9D3J8|AMTN_MOUSE,7N6R_B,680.0,24.91,nan,nan,nan
sp|Q9D9J3|ACTT1_MOUSE,6HTS_H,9.3e-46,352.25,206.25,91.48,181.30
sp|Q9DAD0|CF276_MOUSE,7RRO_r,2.1e-34,219.77,219.77,0.00,219.77
sp|Q9DBZ1|IKIP_MOUSE,7DL2_D,4.9,44.31,nan,nan,nan
sp|Q9EQF5|DPYS_MOUSE,4B90_A,6e-109,757.98,192.28,89.19,179.60
sp|Q9ESG6|P2Y14_MOUSE,4PXZ_A,8.7e-32,206.47,147.86,19.32,146.32
sp|Q9ESG8|ZDH16_MOUSE,6BMS_D,1.2e-31,218.97,198.19,13.99,197.70
sp|Q9JIS5|SV2A_MOUSE,7SP5_B,1.4e-29,215.62,135.42,25.33,132.87
sp|Q9JK38|GNA1_MOUSE,3CXP_A,1.4e-17,103.93,57.78,11.89,56.85
sp|Q9QYI7|DNJB8_MOUSE,6U3S_A,4.4e-45,280.14,80.04,32.53,75.61
sp|Q9WU62|INCE_MOUSE,6YIH_C,4.5e-20,155.56,103.92,21.57,101.87
sp|Q9Z0Y1|DCTN3_MOUSE,6ZNL_O,7.9e-28,172.46,172.46,0.00,172.46
sp|Q9Z2P8|VAMP5_MOUSE,4B93_A,4.6e-08,62.1,52.39,5.68,52.08
tr|A0A075B5Y4|A0A075B5Y4_MOUSE,3N44_F,8.9e-12,99.08,59.93,8.04,59.42
tr|A0A0B4J1K5|A0A0B4J1K5_MOUSE,6HDC_A,2e-09,76.98,48.68,6.22,48.30
tr|A0A140LJF5|A0A140LJF5_MOUSE,7BVQ_B,4.1e-22,162.7,129.34,16.42,128.05
tr|A0A140T8J6|A0A140T8J6_MOUSE,7JOZ_R,4.2e-25,182.29,136.52,19.48,134.80
tr|A0A286YDN8|A0A286YDN8_MOUSE,7BQQ_A,16.0,29.89,nan,nan,nan
tr|A0A571BDD5|A0A571BDD5_MOUSE,6AKF_C,5.5e-08,66.86,62.29,3.77,62.17
tr|A0AAG1FCE8|A0AAG1FCE8_MOUSE,1UFN_A,6.5e-11,83.16,79.56,3.67,79.48
tr|A0ABA7IW39|A0ABA7IW39_MOUSE,2AXC_A,390.0,24.94,nan,nan,nan
tr|A2A4F1|A2A4F1_MOUSE,6T90_K,0.13,50.77,nan,nan,nan
tr|A2AMD2|A2AMD2_MOUSE,6PW5_D,4.8e-06,80.74,61.33,7.03,60.93
tr|A2BHR2|A2BHR2_MOUSE,3FIQ_B,1.9e-17,106.27,79.59,12.13,78.66
tr|A3KGY3|A3KGY3_MOUSE,7JOZ_R,4e-25,182.57,137.88,19.72,136.13
tr|D3Z6F0|D3Z6F0_MOUSE,6C6K_A,3.8e-32,212.23,88.50,18.10,87.11
tr|E9PX92|E9PX92_MOUSE,4FIB_B,36.0,28.42,nan,nan,nan
tr|E9PY16|E9PY16_MOUSE,3LJU_X,2e-58,357.57,110.30,54.66,102.42
tr|E9PZ66|E9PZ66_MOUSE,7EIB_A,1.7e-20,160.95,134.59,12.78,133.86
tr|E9Q048|E9Q048_MOUSE,7NRC_A,230.0,34.9,nan,nan,nan
tr|E9Q3K0|E9Q3K0_MOUSE,7DL2_D,200.0,33.48,nan,nan,nan
tr|E9QAQ8|E9QAQ8_MOUSE,7A5O_D,6.1e-178,1562.37,595.04,527.08,354.60
tr|G3UW68|G3UW68_MOUSE,2D5V_A,0.0041,43.15,nan,nan,nan
tr|G3X9G9|G3X9G9_MOUSE,2VZ9_B,2.9e-11,123.34,90.80,8.05,90.46
tr|J3QN84|J3QN84_MOUSE,2NS2_B,3.3e-57,377.7,364.14,9.96,364.00
tr|Q3UT11|Q3UT11_MOUSE,1RKI_B,51.0,27.08,nan,nan,nan
tr|Q6T340|Q6T340_MOUSE,6R7T_B,1.7e-39,266.46,228.54,14.77,228.10
tr|Q7TQW6|Q7TQW6_MOUSE,7DDZ_A,1.9e-24,190.41,153.75,22.61,151.61
tr|Q8C3L5|Q8C3L5_MOUSE,7P04_A,220.0,27.17,nan,nan,nan
tr|Q8R289|Q8R289_MOUSE,7DDZ_A,2.7e-06,76.47,65.88,3.85,65.76
tr|Q8VG27|Q8VG27_MOUSE,7EIB_A,1.6e-20,161.48,131.94,16.54,130.68
tr|Q8VG87|Q8VG87_MOUSE,7JOZ_R,2.5e-26,190.04,150.31,22.77,148.02
tr|Q8VGG4|Q8VGG4_MOUSE,7DDZ_A,1.3e-25,197.16,154.26,23.68,151.88
tr|Q9D3X3|Q9D3X3_MOUSE,5T9R_G,14.0,44.35,nan,nan,nan
tr|W4VSP0|W4VSP0_MOUSE,7BVQ_B,1.5e-25,183.62,145.94,20.24,144.17
sp|A2ADY9|DDI2_MOUSE,5KES_A,9.2e-17,130.95,83.44,21.12,81.11
sp|A2AKX3|SETX_MOUSE,6I59_A,1.6e-64,562.54,212.01,120.99,187.09
sp|A7E1Z1|TM215_MOUSE,7Q21_h,11.0,33.05,nan,nan,nan
sp|B2RV46|SPA6L_MOUSE,4E5X_H,120.0,27.28,nan,nan,nan
sp|B9EJX3|SMIP1_MOUSE,6C14_C,37.0,28.48,nan,nan,nan
sp|E9Q6E9|SIMC1_MOUSE,7NRC_A,130.0,38.7,nan,nan,nan
sp|O08581|KCNK1_MOUSE,7SK1_B,1.5e-46,296.92,184.74,36.72,181.80
sp|O08605|MKNK1_MOUSE,2HW7_A,7.7e-54,320.12,199.51,17.41,198.80
sp|O08808|DIAP1_MOUSE,3O4X_F,9.7e-72,553.8,251.69,126.95,219.74
sp|O54786|DFFA_MOUSE,1IYR_A,1.5e-23,164.13,95.95,20.54,94.24
sp|O70555|SPR2D_MOUSE,1ZLG_A,13.0,26.94,nan,nan,nan
sp|O88875|BY55_MOUSE,7MSG_F,3.6e-17,121.23,91.08,30.16,85.94
sp|P04627|ARAF_MOUSE,7MFD_A,1e-87,675.73,209.28,33.14,207.83
sp|P05201|AATC_MOUSE,3K7Y_A,1.2e-34,232.64,86.21,27.72,83.09
sp|P08884|GRAE_MOUSE,3FZZ_B,2.7e-37,199.71,139.49,42.89,131.46
sp|P0CB42|ALKB1_MOUSE,6IE3_A,9.8e-60,419.14,134.70,117.20,106.18
sp|P0DP59|SLUR2_MOUSE,2N99_A,9.6e-11,64.42,53.84,4.35,53.67
sp|P10749|IL1B_MOUSE,5MVZ_V,9e-25,174.82,154.99,12.34,154.45
sp|P13542|MYH8_MOUSE,6FSA_B,0.0,2913.42,750.96,592.45,455.18
sp|P41245|MMP9_MOUSE,1GXD_A,2e-82,619.38,131.66,109.44,110.36
sp|P43680|SOX18_MOUSE,6UPL_H,5e-06,80.3,58.39,8.49,57.82
sp|P46735|MYO1B_MOUSE,7KOG_A,6.8e-127,1044.19,835.01,115.26,823.11
sp|P48298|CCL11_MOUSE,6N2U_A,2.5e-14,83.29,71.48,5.86,71.23
sp|P50715|DFA31_MOUSE,5IJL_A,8.6,35.98,nan,nan,nan
sp|P51960|MYBA_MOUSE,6ID1_L,1.2e-22,211.77,127.50,39.20,121.62
sp|P57791|FACE2_MOUSE,6U0O_A,1.8e-06,68.08,68.08,0.00,68.08
sp|P58242|ASM3B_MOUSE,5KAS_A,2.7e-71,465.38,123.55,113.33,99.50
sp|P58686|BBLN_MOUSE,1P9I_A,0.23,29.98,nan,nan,nan
sp|P63300|SELW_MOUSE,2NPB_A,3.7e-18,104.67,84.55,7.47,84.25
sp|P70335|ROCK1_MOUSE,4YVC_A,1.5e-74,531.45,221.66,33.57,219.81
sp|P70458|IPSP_MOUSE,2WXY_C,9.1e-54,369.14,308.83,24.61,307.82
sp|P97868|RBBP6_MOUSE,6I1D_B,9.2e-23,195.84,116.23,45.65,107.49
sp|Q0GA42|CNNM1_MOUSE,6N7E_D,2.1e-54,398.45,149.14,96.43,125.58
sp|Q10470|MGAT3_MOUSE,4Z81_A,35.0,38.35,nan,nan,nan
sp|Q1W617|SHRM4_MOUSE,5F5P_B,5.8e-37,300.43,283.48,14.10,283.13
sp|Q32NZ6|TMC5_MOUSE,6QM5_A,0.086,59.42,nan,nan,nan
sp|Q3UYI5|RGL3_MOUSE,5CM8_A,3.3e-43,329.79,211.60,61.17,202.54
sp|Q3V0M2|LRC36_MOUSE,4WWU_H,3.6e-06,85.35,80.10,3.97,80.00
sp|Q497L8|S22AG_MOUSE,7SP5_B,1.5e-20,158.33,106.84,14.66,105.94
sp|Q5JCT0|GCNT3_MOUSE,2GAK_B,1.2e-68,476.19,357.25,116.60,337.69
sp|Q5SSE9|ABCAD_MOUSE,7E7I_A,2e-163,1600.26,240.03,130.74,228.05
sp|Q60668|HNRPD_MOUSE,7DVQ_4,1.2e-23,194.58,85.69,29.78,80.66
sp|Q61559|FCGRN_MOUSE,6FGB_A,5.3e-40,254.69,157.57,44.91,150.48
sp|Q62421|SH3G3_MOUSE,6UPN_m,5.9e-30,198.58,106.95,46.38,98.54
sp|Q66JY2|IN80D_MOUSE,6ESB_7,160.0,34.22,nan,nan,nan
sp|Q66JZ4|TCAIM_MOUSE,7PUA_F6,1.6e-48,389.99,389.99,0.00,389.99
sp|Q69ZQ1|MYORG_MOUSE,5JOV_A,2.4e-45,378.84,254.67,110.78,221.29
sp|Q6A025|PPR26_MOUSE,5D5P_C,290.0,30.31,nan,nan,nan
sp|Q6H1V1|BEST3_MOUSE,4RDQ_E,4.6e-75,538.71,374.10,162.82,333.18
sp|Q6IFX4|K1C39_MOUSE,3TNU_A,5.4e-10,74.24,65.36,5.13,65.16
sp|Q6NWW5|KIF24_MOUSE,5XJA_A,2e-55,435.11,298.73,48.18,294.83
sp|Q6PGN1|ERFE_MOUSE,1RJ8_G,1.6e-07,68.71,68.71,0.00,68.71
sp|Q6ZPL9|DDX55_MOUSE,6QX9_5X,3.3e-42,346.17,202.64,59.89,191.68
sp|Q7TNK8|ADM2_MOUSE,6UVA_P,7.9e-13,85.6,84.47,1.13,84.46
sp|Q7TNV7|DFB38_MOUSE,5LCS_A,6e-06,45.83,43.75,1.06,43.74
sp|Q7TQ65|TMC4_MOUSE,6MGV_B,0.24,53.52,nan,nan,nan
sp|Q7TSV4|PGM2_MOUSE,3OLP_B,5.9e-43,333.28,244.11,52.13,236.12
sp|Q7TSY6|CELF4_MOUSE,7DVQ_4,8e-22,189.13,92.10,30.98,86.94
sp|Q80T74|KLH29_MOUSE,6WCQ_C,1.7e-52,389.1,127.15,53.05,117.93
sp|Q80VL3|PRIC3_MOUSE,7AM2_Ax,2.8e-15,131.72,74.53,19.97,72.25
sp|Q80VM3|TTC29_MOUSE,6R7N_B,4.3e-10,91.67,72.77,9.03,72.21
sp|Q80VQ0|AL3B1_MOUSE,5MYP_A,1.4e-65,448.67,305.00,22.11,304.24
sp|Q810B9|SLIK3_MOUSE,3J0A_A,1.2e-19,173.59,100.93,22.00,98.68
sp|Q811Q4|ADA29_MOUSE,3G5C_A,2.1e-77,571.62,193.90,138.59,159.08
sp|Q8BHA1|LRC24_MOUSE,3ZYO_A,8.3e-27,192.54,91.10,22.71,88.66
sp|Q8BJI1|S6A17_MOUSE,6M18_A,4.1e-89,661.05,515.33,73.85,510.37
sp|Q8BMB0|EMSY_MOUSE,2FMM_E,1.9e-25,200.06,166.97,37.41,162.25
sp|Q8BP22|CBAR1_MOUSE,4FZS_A,3.5e-12,92.92,76.10,8.35,75.66
sp|Q8BR21|F180A_MOUSE,2JPN_A,92.0,24.67,nan,nan,nan
sp|Q8BUR4|DOCK1_MOUSE,6TGB_A,4.8e-316,2784.63,661.34,763.02,442.05
sp|Q8BXP5|PANKY_MOUSE,6PW5_D,3e-11,118.09,83.57,13.07,82.54
sp|Q8BYI8|F234B_MOUSE,2ZUY_A,1.3,43.75,nan,nan,nan
sp|Q8CEG0|PANX3_MOUSE,6UZY_F,2.1e-70,504.59,428.22,48.15,425.58
sp|Q8CIM3|D2HDH_MOUSE,6LPT_B,1.2e-58,408.44,178.70,73.65,165.90
sp|Q8K009|AL1L2_MOUSE,7RLU_D,1.9e-119,906.81,329.85,126.72,298.96
sp|Q8K124|PKHO2_MOUSE,7NH5_A,6.3e-05,63.7,nan,nan,nan
sp|Q8R0Z2|ENOX2_MOUSE,6WMZ_A,9.5e-05,68.92,nan,nan,nan
sp|Q8R2I8|DFB10_MOUSE,1KJ6_A,8.9e-07,49.38,49.38,0.00,49.38
sp|Q8VC19|HEM1_MOUSE,5QT3_B,2.8e-50,357.92,132.06,30.48,129.83
sp|Q91W20|LRC26_MOUSE,7C77_A,4.6e-14,120.89,77.59,12.58,76.62
sp|Q91W59|RBMS1_MOUSE,7DVQ_4,3.2e-19,167.98,85.90,27.78,81.23
sp|Q91WJ8|FUBP1_MOUSE,3N89_B,5.2e-25,196.3,108.68,27.09,105.99
sp|Q91WP0|MASP2_MOUSE,1Q3X_B,1.2e-56,371.87,154.12,54.95,143.58
sp|Q920L1|FADS1_MOUSE,4YMK_D,2.5e-09,92.16,63.91,14.62,62.35
sp|Q923Q2|STA13_MOUSE,2JW2_A,3.1e-22,172.81,117.78,18.36,116.37
sp|Q99KP6|PRP19_MOUSE,7DCO_s,3.9e-78,521.06,166.07,40.41,163.43
sp|Q99LI2|CLCC1_MOUSE,7KAM_G,32.0,37.48,nan,nan,nan
sp|Q9CPV5|PMF1_MOUSE,5LSJ_E,3.8e-24,155.18,127.82,27.90,124.46
sp|Q9CQ62|DECR_MOUSE,4V59_A,1.3e-19,192.03,124.81,13.95,124.10
sp|Q9CR14|FANCL_MOUSE,7KZT_M,1.9e-77,526.42,244.69,192.70,169.81
sp|Q9CZP3|ZN655_MOUSE,6QNX_C,8.8e-33,279.6,85.21,40.23,77.79
sp|Q9D3H2|OBP1A_MOUSE,4WFV_A,7.3e-13,84.1,65.22,9.56,64.56
sp|Q9D6H2|IFT25_MOUSE,4OYU_B,7e-12,95.99,70.38,16.28,68.71
sp|Q9D7N9|APMAP_MOUSE,4IYG_B,1e-18,136.44,94.94,20.14,93.06
sp|Q9D7Q1|CHIT1_MOUSE,5HBF_B,2.1e-83,545.19,269.32,86.45,255.93
sp|Q9EQJ0|TPC1_MOUSE,6C9A_A,1.2e-120,908.48,159.55,118.53,134.36
sp|Q9ES03|TBX20_MOUSE,5BQD_A,2e-52,353.55,262.48,27.19,261.25
sp|Q9JHF9|LY96_MOUSE,7MLM_C,8.7e-23,145.92,106.59,24.26,103.51
sp|Q9JHY4|WF15B_MOUSE,1ZLG_A,0.34,34.32,nan,nan,nan
sp|Q9JI44|DMAP1_MOUSE,4IEJ_A,6.7e-29,195.93,195.93,0.00,195.93
sp|Q9JI60|LRAT_MOUSE,4Q95_A,9e-20,122.75,103.60,11.36,103.02
sp|Q9JJ57|KCIP1_MOUSE,1S1E_A,2.8e-33,194.97,77.48,22.56,74.87
sp|Q9JJW0|PXMP4_MOUSE,6TMK_D,47.0,32.19,nan,nan,nan
sp|Q9QXU7|PROK2_MOUSE,1IMT_A,2.3e-13,84.92,71.21,9.81,70.52
sp|Q9QYC1|PCX1_MOUSE,7NRC_A,43.0,44.03,nan,nan,nan
sp|Q9QYE0|PLAG1_MOUSE,6QNX_C,9.8e-27,234.1,83.42,35.94,77.21
