fasta_id,best_hit_id
sp|Q61806|XL3C_MOUSE,6DD8_C
sp|Q62266|SPR1A_MOUSE,2QKW_A
sp|Q62381|TLL1_MOUSE,3KQ4_D
sp|Q62417|SRBS1_MOUSE,2DYB_B
sp|Q64318|ZEB1_MOUSE,6QNX_C
sp|Q64435|UD16_MOUSE,6KVJ_A
sp|Q64669|NQO1_MOUSE,5FUQ_B
sp|Q68EF6|BEGIN_MOUSE,7PER_H
sp|Q6F3F9|AGRG6_MOUSE,6V55_A
sp|Q6GQX6|ANKS6_MOUSE,4OAV_B
sp|Q6P5G3|MBTD1_MOUSE,4C5I_A
sp|Q6PGH1|BUD31_MOUSE,7DCO_N
sp|Q6R891|NEB2_MOUSE,3EGG_D
sp|Q6URW6|MYH14_MOUSE,6Z47_G
sp|Q7TPS0|KS6A6_MOUSE,4OLI_A
sp|Q7TQP4|RL3R2_MOUSE,5ZKP_A
sp|Q80TZ9|RERE_MOUSE,7AOA_A
sp|Q80U04|PJA2_MOUSE,6ID1_q
sp|Q80V91|DTX3_MOUSE,6Y2X_B
sp|Q80YD6|SRGEF_MOUSE,4JHN_D
sp|Q8BFU8|VGLU3_MOUSE,6V4D_A
sp|Q8BG39|SV2B_MOUSE,7SP5_B
sp|Q8BGW0|THMS1_MOUSE,1TOL_A
sp|Q8BIG2|LKAM1_MOUSE,6N30_G
sp|Q8BKX6|SMG1_MOUSE,6Z3R_A
sp|Q8BLN5|LSS_MOUSE,1W6K_A
sp|Q8BMI0|FBX38_MOUSE,3OGL_D
sp|Q8BP67|RL24_MOUSE,6ZJ3_Lm
sp|Q8BQQ1|ZDH14_MOUSE,6BMS_D
sp|Q8BZ52|FSD2_MOUSE,4TN3_B
sp|Q8BZ60|STON2_MOUSE,6YAF_M
sp|Q8C172|CERS6_MOUSE,1X2M_A
sp|Q8C190|VP9D1_MOUSE,4Q9U_A
sp|Q8C1Q6|UQCC5_MOUSE,6KOZ_A
sp|Q8C2S0|UBP44_MOUSE,3IHP_B
sp|Q8C7U1|N4BP3_MOUSE,7N9F_z
sp|Q8CC14|F216B_MOUSE,5J7T_A
sp|Q8CDV0|CC178_MOUSE,7DL2_D
sp|Q8CE90|MP2K7_MOUSE,6YG1_C
sp|Q8CEF8|RN222_MOUSE,5TTE_B
sp|Q8CGP1|H2B1K_MOUSE,7D69_D
sp|Q8CH40|NUDT6_MOUSE,4ZBP_B
sp|Q8CHX6|MBTP2_MOUSE,3B4R_B
sp|Q8CIE6|COPA_MOUSE,5NZV_H
sp|Q8R3P0|ACY2_MOUSE,2Q4Z_B
sp|Q8VBU8|BANP_MOUSE,7W27_C
sp|Q8VBY2|KKCC1_MOUSE,6CD6_D
sp|Q8VEC3|AGRF1_MOUSE,7D76_R
sp|Q8VFD3|O5P60_MOUSE,7JOZ_R
sp|Q8VIG3|RSPH1_MOUSE,7DMP_A
sp|Q8VIN1|PEBP2_MOUSE,7OF0_6
sp|Q91V04|TRAM1_MOUSE,7P5C_B
sp|Q91VZ6|SMAP1_MOUSE,3T9K_A
sp|Q91XE0|GLYAT_MOUSE,1SQH_A
sp|Q91ZU1|ASB6_MOUSE,6PW5_D
sp|Q922M5|CDA7L_MOUSE,6PA7_P
sp|Q924C1|XPO5_MOUSE,5YU7_A
sp|Q99JT1|GATB_MOUSE,3AL0_B
sp|Q99KH8|STK24_MOUSE,3A7I_A
sp|Q99ML1|BBC3_MOUSE,5FMJ_B
sp|Q99MX7|T121B_MOUSE,6X9O_A
sp|Q9CQG6|TM147_MOUSE,6W6L_4
sp|Q9CY58|SERB1_MOUSE,4V6X_Ah
sp|Q9CY94|PSF3_MOUSE,2E9X_C
sp|Q9CZJ6|MS18A_MOUSE,5HJ0_C
sp|Q9D2M8|UB2V2_MOUSE,3VON_d
sp|Q9D3J8|AMTN_MOUSE,7N6R_B
sp|Q9D9J3|ACTT1_MOUSE,6HTS_H
sp|Q9DAD0|CF276_MOUSE,7RRO_r
sp|Q9DBZ1|IKIP_MOUSE,7DL2_D
sp|Q9EQF5|DPYS_MOUSE,4B90_A
sp|Q9ESG6|P2Y14_MOUSE,4PXZ_A
sp|Q9ESG8|ZDH16_MOUSE,6BMS_D
sp|Q9JIS5|SV2A_MOUSE,7SP5_B
sp|Q9JK38|GNA1_MOUSE,3CXP_A
sp|Q9QYI7|DNJB8_MOUSE,6U3S_A
sp|Q9WU62|INCE_MOUSE,6YIH_C
sp|Q9Z0Y1|DCTN3_MOUSE,6ZNL_O
sp|Q9Z2P8|VAMP5_MOUSE,4B93_A
tr|A0A075B5Y4|A0A075B5Y4_MOUSE,3N44_F
tr|A0A0B4J1K5|A0A0B4J1K5_MOUSE,6HDC_A
tr|A0A140LJF5|A0A140LJF5_MOUSE,7BVQ_B
tr|A0A140T8J6|A0A140T8J6_MOUSE,7JOZ_R
tr|A0A286YDN8|A0A286YDN8_MOUSE,7BQQ_A
tr|A0A571BDD5|A0A571BDD5_MOUSE,6AKF_C
tr|A0AAG1FCE8|A0AAG1FCE8_MOUSE,1UFN_A
tr|A0ABA7IW39|A0ABA7IW39_MOUSE,2AXC_A
tr|A2A4F1|A2A4F1_MOUSE,6T90_K
tr|A2AMD2|A2AMD2_MOUSE,6PW5_D
tr|A2BHR2|A2BHR2_MOUSE,3FIQ_B
tr|A3KGY3|A3KGY3_MOUSE,7JOZ_R
tr|D3Z6F0|D3Z6F0_MOUSE,6C6K_A
tr|E9PX92|E9PX92_MOUSE,4FIB_B
tr|E9PY16|E9PY16_MOUSE,3LJU_X
tr|E9PZ66|E9PZ66_MOUSE,7EIB_A
tr|E9Q048|E9Q048_MOUSE,7NRC_A
tr|E9Q3K0|E9Q3K0_MOUSE,7DL2_D
tr|E9QAQ8|E9QAQ8_MOUSE,7A5O_D
tr|G3UW68|G3UW68_MOUSE,2D5V_A
tr|G3X9G9|G3X9G9_MOUSE,2VZ9_B
tr|J3QN84|J3QN84_MOUSE,2NS2_B
tr|Q3UT11|Q3UT11_MOUSE,1RKI_B
tr|Q6T340|Q6T340_MOUSE,6R7T_B
tr|Q7TQW6|Q7TQW6_MOUSE,7DDZ_A
tr|Q8C3L5|Q8C3L5_MOUSE,7P04_A
tr|Q8R289|Q8R289_MOUSE,7DDZ_A
tr|Q8VG27|Q8VG27_MOUSE,7EIB_A
tr|Q8VG87|Q8VG87_MOUSE,7JOZ_R
tr|Q8VGG4|Q8VGG4_MOUSE,7DDZ_A
tr|Q9D3X3|Q9D3X3_MOUSE,5T9R_G
tr|W4VSP0|W4VSP0_MOUSE,7BVQ_B
sp|A2ADY9|DDI2_MOUSE,5KES_A
sp|A2AKX3|SETX_MOUSE,6I59_A
sp|A7E1Z1|TM215_MOUSE,7Q21_h
sp|B2RV46|SPA6L_MOUSE,4E5X_H
sp|B9EJX3|SMIP1_MOUSE,6C14_C
sp|E9Q6E9|SIMC1_MOUSE,7NRC_A
sp|O08581|KCNK1_MOUSE,7SK1_B
sp|O08605|MKNK1_MOUSE,2HW7_A
sp|O08808|DIAP1_MOUSE,3O4X_F
sp|O54786|DFFA_MOUSE,1IYR_A
sp|O70555|SPR2D_MOUSE,1ZLG_A
sp|O88875|BY55_MOUSE,7MSG_F
sp|P04627|ARAF_MOUSE,7MFD_A
sp|P05201|AATC_MOUSE,3K7Y_A
sp|P08884|GRAE_MOUSE,3FZZ_B
sp|P0CB42|ALKB1_MOUSE,6IE3_A
sp|P0DP59|SLUR2_MOUSE,2N99_A
sp|P10749|IL1B_MOUSE,5MVZ_V
sp|P13542|MYH8_MOUSE,6FSA_B
sp|P41245|MMP9_MOUSE,1GXD_A
sp|P43680|SOX18_MOUSE,6UPL_H
sp|P46735|MYO1B_MOUSE,7KOG_A
sp|P48298|CCL11_MOUSE,6N2U_A
sp|P50715|DFA31_MOUSE,5IJL_A
sp|P51960|MYBA_MOUSE,6ID1_L
sp|P57791|FACE2_MOUSE,6U0O_A
sp|P58242|ASM3B_MOUSE,5KAS_A
sp|P58686|BBLN_MOUSE,1P9I_A
sp|P63300|SELW_MOUSE,2NPB_A
sp|P70335|ROCK1_MOUSE,4YVC_A
sp|P70458|IPSP_MOUSE,2WXY_C
sp|P97868|RBBP6_MOUSE,6I1D_B
sp|Q0GA42|CNNM1_MOUSE,6N7E_D
sp|Q10470|MGAT3_MOUSE,4Z81_A
sp|Q1W617|SHRM4_MOUSE,5F5P_B
sp|Q32NZ6|TMC5_MOUSE,6QM5_A
sp|Q3UYI5|RGL3_MOUSE,5CM8_A
sp|Q3V0M2|LRC36_MOUSE,4WWU_H
sp|Q497L8|S22AG_MOUSE,7SP5_B
sp|Q5JCT0|GCNT3_MOUSE,2GAK_B
sp|Q5SSE9|ABCAD_MOUSE,7E7I_A
sp|Q60668|HNRPD_MOUSE,7DVQ_4
sp|Q61559|FCGRN_MOUSE,6FGB_A
sp|Q62421|SH3G3_MOUSE,6UPN_m
sp|Q66JY2|IN80D_MOUSE,6ESB_7
sp|Q66JZ4|TCAIM_MOUSE,7PUA_F6
sp|Q69ZQ1|MYORG_MOUSE,5JOV_A
sp|Q6A025|PPR26_MOUSE,5D5P_C
sp|Q6H1V1|BEST3_MOUSE,4RDQ_E
sp|Q6IFX4|K1C39_MOUSE,3TNU_A
sp|Q6NWW5|KIF24_MOUSE,5XJA_A
sp|Q6PGN1|ERFE_MOUSE,1RJ8_G
sp|Q6ZPL9|DDX55_MOUSE,6QX9_5X
sp|Q7TNK8|ADM2_MOUSE,6UVA_P
sp|Q7TNV7|DFB38_MOUSE,5LCS_A
sp|Q7TQ65|TMC4_MOUSE,6MGV_B
sp|Q7TSV4|PGM2_MOUSE,3OLP_B
sp|Q7TSY6|CELF4_MOUSE,7DVQ_4
sp|Q80T74|KLH29_MOUSE,6WCQ_C
sp|Q80VL3|PRIC3_MOUSE,7AM2_Ax
sp|Q80VM3|TTC29_MOUSE,6R7N_B
sp|Q80VQ0|AL3B1_MOUSE,5MYP_A
sp|Q810B9|SLIK3_MOUSE,3J0A_A
sp|Q811Q4|ADA29_MOUSE,3G5C_A
sp|Q8BHA1|LRC24_MOUSE,3ZYO_A
sp|Q8BJI1|S6A17_MOUSE,6M18_A
sp|Q8BMB0|EMSY_MOUSE,2FMM_E
sp|Q8BP22|CBAR1_MOUSE,4FZS_A
sp|Q8BR21|F180A_MOUSE,2JPN_A
sp|Q8BUR4|DOCK1_MOUSE,6TGB_A
sp|Q8BXP5|PANKY_MOUSE,6PW5_D
sp|Q8BYI8|F234B_MOUSE,2ZUY_A
sp|Q8CEG0|PANX3_MOUSE,6UZY_F
sp|Q8CIM3|D2HDH_MOUSE,6LPT_B
sp|Q8K009|AL1L2_MOUSE,7RLU_D
sp|Q8K124|PKHO2_MOUSE,7NH5_A
sp|Q8R0Z2|ENOX2_MOUSE,6WMZ_A
sp|Q8R2I8|DFB10_MOUSE,1KJ6_A
sp|Q8VC19|HEM1_MOUSE,5QT3_B
sp|Q91W20|LRC26_MOUSE,7C77_A
sp|Q91W59|RBMS1_MOUSE,7DVQ_4
sp|Q91WJ8|FUBP1_MOUSE,3N89_B
sp|Q91WP0|MASP2_MOUSE,1Q3X_B
sp|Q920L1|FADS1_MOUSE,4YMK_D
sp|Q923Q2|STA13_MOUSE,2JW2_A
sp|Q99KP6|PRP19_MOUSE,7DCO_s
sp|Q99LI2|CLCC1_MOUSE,7KAM_G
sp|Q9CPV5|PMF1_MOUSE,5LSJ_E
sp|Q9CQ62|DECR_MOUSE,4V59_A
sp|Q9CR14|FANCL_MOUSE,7KZT_M
sp|Q9CZP3|ZN655_MOUSE,6QNX_C
sp|Q9D3H2|OBP1A_MOUSE,4WFV_A
sp|Q9D6H2|IFT25_MOUSE,4OYU_B
sp|Q9D7N9|APMAP_MOUSE,4IYG_B
sp|Q9D7Q1|CHIT1_MOUSE,5HBF_B
sp|Q9EQJ0|TPC1_MOUSE,6C9A_A
sp|Q9ES03|TBX20_MOUSE,5BQD_A
sp|Q9JHF9|LY96_MOUSE,7MLM_C
sp|Q9JHY4|WF15B_MOUSE,1ZLG_A
sp|Q9JI44|DMAP1_MOUSE,4IEJ_A
sp|Q9JI60|LRAT_MOUSE,4Q95_A
sp|Q9JJ57|KCIP1_MOUSE,1S1E_A
sp|Q9JJW0|PXMP4_MOUSE,6TMK_D
sp|Q9QXU7|PROK2_MOUSE,1IMT_A
sp|Q9QYC1|PCX1_MOUSE,7NRC_A
sp|Q9QYE0|PLAG1_MOUSE,6QNX_C
sp|Q9QZ85|IIGP1_MOUSE,1TQ6_A
sp|Q9Z1N6|SFRP4_MOUSE,5XGP_A
sp|Q9Z2U0|PSA7_MOUSE,6QM8_F
tr|A0A075B5V0|A0A075B5V0_MOUSE,3N44_F
tr|A0A0A6YW27|A0A0A6YW27_MOUSE,5SZP_A
tr|A0A0A6YYE5|A0A0A6YYE5_MOUSE,4OJE_H
tr|A0A0G2JDI1|A0A0G2JDI1_MOUSE,6TNI_A
tr|A0A0J9YVD0|A0A0J9YVD0_MOUSE,6X6A_E
tr|A0A140T8U3|A0A140T8U3_MOUSE,7DD7_A
tr|A0A1D5RLS7|A0A1D5RLS7_MOUSE,4B93_A
tr|A0A1L1SR01|A0A1L1SR01_MOUSE,6WMM_B
tr|A0A2I3BRX0|A0A2I3BRX0_MOUSE,7JOZ_R
tr|A0A338P7C9|A0A338P7C9_MOUSE,7DRT_B
tr|A2AS37|A2AS37_MOUSE,7AD7_A
tr|A2AW64|A2AW64_MOUSE,5AKO_C
tr|A2CGC2|A2CGC2_MOUSE,6WCQ_C
tr|B1APN4|B1APN4_MOUSE,6T90_K
tr|B7ZWJ3|B7ZWJ3_MOUSE,7A23_t
tr|D3YWT1|D3YWT1_MOUSE,6DHS_B
tr|E9PW37|E9PW37_MOUSE,3BXJ_B
tr|E9Q2I4|E9Q2I4_MOUSE,6Z2K_F
tr|E9Q3H4|E9Q3H4_MOUSE,6ZYA_A
tr|E9Q9C6|E9Q9C6_MOUSE,7KWO_V
tr|J3KMI7|J3KMI7_MOUSE,2NS2_B
tr|J3QNN6|J3QNN6_MOUSE,3N44_F
tr|J3QP49|J3QP49_MOUSE,2NS2_B
tr|L7MTU6|L7MTU6_MOUSE,3SE4_B
tr|L7MU59|L7MU59_MOUSE,7BVQ_B
tr|L7N475|L7N475_MOUSE,7BVQ_B
tr|Q3TFZ4|Q3TFZ4_MOUSE,6QNX_C
tr|Q6IMB2|Q6IMB2_MOUSE,5CK3_B
tr|Q7M6Y0|Q7M6Y0_MOUSE,6QNX_C
tr|Q7TPY4|Q7TPY4_MOUSE,6X6A_E
tr|Q7TS13|Q7TS13_MOUSE,7BVQ_B
tr|Q8K3N7|Q8K3N7_MOUSE,6WHA_A
tr|Q8R2E1|Q8R2E1_MOUSE,7F9Y_R
tr|Q8VFA8|Q8VFA8_MOUSE,7BVQ_B
tr|Q8VFE2|Q8VFE2_MOUSE,7JOZ_R
tr|Q91XY7|Q91XY7_MOUSE,5SZP_A
tr|Q9CQH5|Q9CQH5_MOUSE,2HM6_A
tr|Q9D140|Q9D140_MOUSE,6QFE_B
tr|Q9EPG2|Q9EPG2_MOUSE,7JOZ_R
tr|Q9EPS5|Q9EPS5_MOUSE,7DDZ_A
tr|Q9R0U9|Q9R0U9_MOUSE,7DL2_D
tr|Q9R164|Q9R164_MOUSE,6QNX_C
sp|A2A825|CPLN2_MOUSE,6VP8_A
sp|A2AD83|FRMD7_MOUSE,6D21_A
sp|A2AF53|T185A_MOUSE,6B3O_C
sp|A2CG49|KALRN_MOUSE,6YGN_A
sp|A3KMP2|TTC38_MOUSE,6YJ6_A
sp|E5FYH1|TOPZ1_MOUSE,6YXY_Ao
sp|E9Q9F7|CC146_MOUSE,5TBY_A
sp|O35143|ATIF1_MOUSE,1GMJ_D
sp|O35387|HAX1_MOUSE,6EMK_I
sp|O35912|EMP3_MOUSE,6OV2_A
sp|O54946|DNJB6_MOUSE,6U3S_A
sp|O70310|NMT1_MOUSE,1RXT_C
sp|O70451|MOT2_MOUSE,7BP3_B
sp|O70480|VAMP4_MOUSE,4B93_A
sp|O88196|TTC3_MOUSE,6ID1_q
sp|P01670|KV3AI_MOUSE,4OJE_H
sp|P01676|KV6A2_MOUSE,4OJE_H
sp|P05017|IGF1_MOUSE,3LRI_A
sp|P0C6B2|PTCRA_MOUSE,3OF6_E
sp|P13675|SSTY1_MOUSE,2NS2_B
sp|P14220|GLPA_MOUSE,2KPF_B
sp|P15535|B4GT1_MOUSE,2FYB_A
sp|P18525|HVM54_MOUSE,3N44_F
sp|P28474|ADHX_MOUSE,1MP0_A
sp|P30658|CBX2_MOUSE,7R78_A
sp|P41133|ID3_MOUSE,2LFH_A
sp|P41588|VIPR2_MOUSE,6NBH_R
sp|P43136|NR2F6_MOUSE,7KW7_F
sp|P46684|ZIC1_MOUSE,6QNX_C
sp|P47753|CAZA1_MOUSE,4AKR_C
sp|P48193|EPB41_MOUSE,6D21_A
sp|P50636|RN19A_MOUSE,4KBL_A
sp|P58196|PLS4_MOUSE,2Q4M_A
sp|P62500|T22D1_MOUSE,1DIP_A
sp|P62737|ACTA_MOUSE,6HTS_H
sp|P70296|PEBP1_MOUSE,6ENS_A
sp|P70318|TIAR_MOUSE,6N7R_F
sp|P70378|FGF11_MOUSE,4JQ0_A
sp|P83714|CTF2_MOUSE,2Q7N_D
sp|P97789|XRN1_MOUSE,2Y35_A
sp|P97805|FAM3D_MOUSE,5LC2_B
sp|Q04742|EMX1_MOUSE,6T90_K
sp|Q0II04|NEBL_MOUSE,5YMA_A
sp|Q3UE31|K0930_MOUSE,2W9R_A
sp|Q3UXL4|KIZ_MOUSE,6EC8_A
sp|Q3UXZ9|KDM5A_MOUSE,5V9T_B
sp|Q3UYH7|ARBK2_MOUSE,3V5W_A
sp|Q3V2D2|CE046_MOUSE,1QJS_A
sp|Q3V2Q8|N42L1_MOUSE,2IA5_H
sp|Q3V3G7|GRM2A_MOUSE,5YQR_A
sp|Q4ZJN1|C1QT9_MOUSE,1WCK_A
sp|Q5XPI3|RN123_MOUSE,7TDI_C
sp|Q60884|O8G17_MOUSE,7BVQ_B
sp|Q61068|U17PA_MOUSE,6TBM_Q
sp|Q61464|ZN638_MOUSE,6ASO_A
sp|Q61475|DAF1_MOUSE,3IYP_F
sp|Q61660|FOXJ1_MOUSE,6FEC_w
sp|Q61663|TLX2_MOUSE,6T90_K
sp|Q62188|DPYL3_MOUSE,4B90_A
sp|Q64282|IFIT1_MOUSE,6C6K_A
sp|Q66JV4|R12BB_MOUSE,6ASO_A
sp|Q6NXK8|ASIC1_MOUSE,6VTK_B
sp|Q6PCN7|HLTF_MOUSE,6L8O_A
sp|Q6ZPR6|IBTK_MOUSE,4JHN_D
sp|Q6ZWZ2|UB2R2_MOUSE,6ZHU_H
sp|Q791V5|MTCH2_MOUSE,6GCI_A
sp|Q7TMD7|DSG4_MOUSE,1Q5C_B
sp|Q80VP2|SPAT7_MOUSE,4H62_K
sp|Q80XF5|I22R2_MOUSE,3BES_R
sp|Q80XI1|FBX34_MOUSE,2XCM_E
sp|Q80Z25|OFD1_MOUSE,7DL2_D
sp|Q8BFQ4|WDR82_MOUSE,7K36_G
sp|Q8BGM7|AAKG3_MOUSE,3T4N_C
sp|Q8BIV3|RNBP6_MOUSE,6XU2_A
sp|Q8BK08|TMM11_MOUSE,7B6X_F
sp|Q8BLV3|SL9A7_MOUSE,7DSX_A
sp|Q8BQ30|PPR18_MOUSE,6ODM_B
sp|Q8BRT1|CLAP2_MOUSE,6COK_A
sp|Q8BUR9|MZT1_MOUSE,6X0U_A
sp|Q8BVE3|VATH_MOUSE,5VOX_P
sp|Q8BVZ5|IL33_MOUSE,5VI4_A
sp|Q8BWT5|DIP2A_MOUSE,6ULW_C
sp|Q8BYK5|PHAR3_MOUSE,6ZEE_X
sp|Q8BZM0|KLH12_MOUSE,6WCQ_C
sp|Q8C031|LRC4C_MOUSE,3ZYO_A
sp|Q8C255|DPEP2_MOUSE,6VGR_A
sp|Q8CGY8|OGT1_MOUSE,7NTF_B
sp|Q8CHQ6|TM125_MOUSE,6TBU_A
sp|Q8CJF9|AGO3_MOUSE,4KRF_A
sp|Q8K203|NEIL3_MOUSE,3W0F_A
sp|Q8R4D1|SL9A8_MOUSE,7DSX_A
sp|Q8VCM3|ZFY21_MOUSE,2RRF_A
sp|Q8VD75|HIP1_MOUSE,1R0D_I
sp|Q8VGK5|O1J21_MOUSE,7DDZ_A
sp|Q91WK7|ANR54_MOUSE,6PW5_D
sp|Q91WT4|DJC17_MOUSE,5Y88_T
sp|Q91YK8|LYPD3_MOUSE,6ION_A
sp|Q91ZA3|PCCA_MOUSE,3N6R_I
sp|Q920G8|MFRN1_MOUSE,6GCI_A
sp|Q920H1|SG3A2_MOUSE,1UTR_B
sp|Q922B2|SYDC_MOUSE,4J15_B
sp|Q924I3|ACKR4_MOUSE,5T1A_A
sp|Q99PV5|BHE41_MOUSE,2DB7_A
sp|Q9CRC8|LRC40_MOUSE,3T6Q_B
sp|Q9CYK1|SYWM_MOUSE,3PRH_B
sp|Q9D0C1|RN115_MOUSE,6VK0_B
sp|Q9D2I5|ARMC9_MOUSE,7RTC_A
sp|Q9D3W4|GPN3_MOUSE,1YRB_B
sp|Q9D6F4|GBRA4_MOUSE,7KUY_E
sp|Q9D8N3|TM86A_MOUSE,7B4M_A
sp|Q9DC50|OCTC_MOUSE,1XMC_B
sp|Q9EQG7|ENPP5_MOUSE,5VEO_A
sp|Q9JIH2|NUP50_MOUSE,3TJ3_C
sp|Q9JIK5|DDX21_MOUSE,6QX9_5X
sp|Q9JM61|THSD1_MOUSE,6X87_X
sp|Q9QXM1|JMY_MOUSE,6UHC_I
sp|Q9QY36|NAA10_MOUSE,6C9M_B
sp|Q9QZI9|SERC3_MOUSE,6SP2_C
sp|Q9Z0S9|PRAF1_MOUSE,6IJZ_A
sp|Q9Z2E9|BSCL2_MOUSE,6DS5_A
tr|A0A087WNP8|A0A087WNP8_MOUSE,2NS2_B
tr|A0A087WQ89|A0A087WQ89_MOUSE,7ANE_ab
tr|A0A087WR13|A0A087WR13_MOUSE,7KZN_A
tr|A0A0G2JDZ0|A0A0G2JDZ0_MOUSE,6HZG_A
tr|A0A0G2JE67|A0A0G2JE67_MOUSE,5CM8_A
tr|A0A0G2JFP6|A0A0G2JFP6_MOUSE,4YS9_B
tr|A0A0G2JGX9|A0A0G2JGX9_MOUSE,5CM8_A
tr|A0A1B0GR71|A0A1B0GR71_MOUSE,6QNX_C
tr|A0A9L6KDW2|A0A9L6KDW2_MOUSE,6MEJ_C
tr|A0ABJ3HKK6|A0ABJ3HKK6_MOUSE,6UYF_E
tr|A2NU22|A2NU22_MOUSE,5WTS_A
tr|B2RW11|B2RW11_MOUSE,7DXF_A
tr|D3Z451|D3Z451_MOUSE,1JMO_A
tr|D3Z748|D3Z748_MOUSE,7BV3_B
tr|E9PY60|E9PY60_MOUSE,7DDZ_A
tr|E9PYB4|E9PYB4_MOUSE,7F1T_A
tr|E9Q891|E9Q891_MOUSE,7BVQ_B
tr|E9QAT7|E9QAT7_MOUSE,7JOZ_R
tr|F6WYW0|F6WYW0_MOUSE,1UTR_B
tr|G3UXE9|G3UXE9_MOUSE,6AT5_A
tr|G3X8R7|G3X8R7_MOUSE,6QNX_C
tr|J3QM75|J3QM75_MOUSE,1PUO_B
tr|J9JI72|J9JI72_MOUSE,4F3L_A
tr|Q0VGU8|Q0VGU8_MOUSE,4KEG_A
tr|Q3TG86|Q3TG86_MOUSE,7E7F_A
tr|Q3ULB0|Q3ULB0_MOUSE,4PKD_B
tr|Q61635|Q61635_MOUSE,1TQ6_A
tr|Q66JY9|Q66JY9_MOUSE,6X6A_E
tr|Q6YI28|Q6YI28_MOUSE,7BPS_B
tr|Q7M719|Q7M719_MOUSE,7F9Y_R
tr|Q7TQS2|Q7TQS2_MOUSE,7BVQ_B
tr|Q7TRU1|Q7TRU1_MOUSE,7BVQ_B
tr|Q80YX8|Q80YX8_MOUSE,1DZK_A
tr|Q810R8|Q810R8_MOUSE,2NS2_B
tr|Q8BNV8|Q8BNV8_MOUSE,6Y6C_A
tr|Q8R2Q3|Q8R2Q3_MOUSE,6QNX_C
tr|Q8VF19|Q8VF19_MOUSE,7BVQ_B
tr|Q8VF55|Q8VF55_MOUSE,7JOZ_R
tr|Q924H8|Q924H8_MOUSE,7JOZ_R
tr|Q99N17|Q99N17_MOUSE,6C94_A
tr|Q9D2T6|Q9D2T6_MOUSE,6TBM_C
tr|Q9EQA6|Q9EQA6_MOUSE,7JOZ_R
